Player,Nation,Pos,Age,MP,Starts,Min,Gls,Ast,PK,CrdY,CrdR,xG,xAG,Team
Virgil van Dijk,nl NED,DF,32,25,25,2187.0,2.0,2.0,0.0,1.0,1.0,2.1,1.5,Liverpool
Alisson,br BRA,GK,31,21,21,1890.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Liverpool
Luis Diaz,co COL,FW,27,26,21,1746.0,6.0,3.0,0.0,2.0,0.0,8.0,2.6,Liverpool
Alexis Mac Allister,ar ARG,MF,25,22,21,1719.0,2.0,4.0,0.0,5.0,1.0,1.0,2.0,Liverpool
Mohamed Salah,eg EGY,FW,31,21,20,1786.0,15.0,9.0,4.0,2.0,0.0,14.8,8.9,Liverpool
Dominik Szoboszlai,hu HUN,MF,23,22,20,1672.0,3.0,2.0,0.0,1.0,0.0,2.1,4.2,Liverpool
Trent Alexander-Arnold,eng ENG,DF,25,21,19,1622.0,2.0,4.0,0.0,5.0,0.0,1.8,5.5,Liverpool
Darwin Nunez,uy URU,FW,24,25,16,1496.0,10.0,7.0,0.0,8.0,0.0,13.0,5.3,Liverpool
Ibrahima Konate,fr FRA,DF,24,19,14,1332.0,0.0,0.0,0.0,5.0,1.0,0.4,0.4,Liverpool
Joe Gomez,eng ENG,DF,26,23,13,1362.0,0.0,1.0,0.0,4.0,0.0,0.5,0.9,Liverpool
Diogo Jota,pt POR,FW,27,19,13,1047.0,9.0,3.0,0.0,3.0,1.0,4.4,2.9,Liverpool
Cody Gakpo,nl NED,"FW,MF",24,25,12,1148.0,5.0,3.0,0.0,0.0,0.0,6.0,0.7,Liverpool
Curtis Jones,eng ENG,MF,23,17,12,956.0,1.0,1.0,0.0,1.0,1.0,1.8,0.5,Liverpool
Andrew Robertson,sct SCO,DF,29,14,11,1036.0,1.0,1.0,0.0,2.0,0.0,0.7,2.3,Liverpool
Wataru Endo,jp JPN,MF,31,19,11,1004.0,1.0,0.0,0.0,7.0,0.0,0.3,1.6,Liverpool
Ryan Gravenberch,nl NED,MF,21,19,9,845.0,0.0,0.0,0.0,0.0,0.0,1.5,0.8,Liverpool
Joel Matip,cm CMR,DF,32,10,9,781.0,0.0,0.0,0.0,2.0,0.0,0.5,0.1,Liverpool
Kostas Tsimikas,gr GRE,DF,27,12,8,672.0,0.0,3.0,0.0,0.0,0.0,0.1,1.0,Liverpool
Caoimhin Kelleher,ie IRL,GK,25,6,6,540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Liverpool
Harvey Elliott,eng ENG,"MF,FW",20,23,5,748.0,2.0,2.0,0.0,1.0,0.0,1.3,2.3,Liverpool
Jarell Quansah,eng ENG,DF,21,8,5,443.0,0.0,0.0,0.0,1.0,0.0,0.1,0.0,Liverpool
Conor Bradley,nir NIR,DF,20,5,5,381.0,1.0,3.0,0.0,1.0,0.0,0.7,1.1,Liverpool
Bobby Clark,eng ENG,MF,19,5,1,89.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,Liverpool
Ben Doak,sct SCO,FW,18,1,0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Liverpool
Jayden Danns,eng ENG,FW,18,2,0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Liverpool
Owen Beck,wls WAL,DF,21,1,0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Liverpool
Thiago Alcantara,es ESP,MF,32,1,0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Liverpool
James McConnell,eng ENG,MF,19,3,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Liverpool
Kaide Gordon,eng ENG,FW,19,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Liverpool
Adrian,es ESP,GK,37,0,0,,,,,,,,,Liverpool
Stefan Bajcetic,es ESP,DF,19,0,0,,,,,,,,,Liverpool
Luke Chambers,eng ENG,DF,19,0,0,,,,,,,,,Liverpool
Lewis Koumas,wls WAL,MF,18,0,0,,,,,,,,,Liverpool
Fabian Mrozek,pl POL,GK,20,0,0,,,,,,,,,Liverpool
Trey Nyoni,eng ENG,MF,16,0,0,,,,,,,,,Liverpool
Marcelo Pitaluga,br BRA,GK,21,0,0,,,,,,,,,Liverpool
Calum Scanlon,eng ENG,MF,19,0,0,,,,,,,,,Liverpool
Ederson,br BRA,GK,30,26,26,2257.0,0.0,0.0,0.0,4.0,0.0,0.0,0.1,Manchester-City
Phil Foden,eng ENG,"FW,MF",23,27,25,2219.0,11.0,7.0,0.0,1.0,0.0,8.2,6.2,Manchester-City
Julian Alvarez,ar ARG,"MF,FW",24,27,25,2129.0,8.0,7.0,1.0,2.0,0.0,8.9,6.2,Manchester-City
Kyle Walker,eng ENG,DF,33,25,24,2170.0,0.0,2.0,0.0,2.0,0.0,0.4,2.3,Manchester-City
Rodri,es ESP,MF,27,24,24,2076.0,6.0,5.0,0.0,7.0,1.0,3.3,2.5,Manchester-City
Ruben Dias,pt POR,DF,26,23,21,1929.0,0.0,0.0,0.0,0.0,0.0,1.1,0.2,Manchester-City
Erling Haaland,no NOR,FW,23,22,21,1832.0,18.0,5.0,3.0,1.0,0.0,20.8,3.7,Manchester-City
Bernardo Silva,pt POR,"MF,FW",29,23,20,1807.0,6.0,4.0,0.0,6.0,0.0,2.9,5.5,Manchester-City
Nathan Ake,nl NED,DF,29,22,18,1637.0,2.0,2.0,0.0,0.0,0.0,1.6,1.2,Manchester-City
Manuel Akanji,ch SUI,"DF,MF",28,19,18,1586.0,2.0,0.0,0.0,4.0,1.0,0.9,0.2,Manchester-City
Josko Gvardiol,hr CRO,DF,22,18,16,1473.0,0.0,0.0,0.0,2.0,0.0,1.0,0.9,Manchester-City
Jeremy Doku,be BEL,"FW,MF",21,19,14,1177.0,2.0,5.0,0.0,3.0,0.0,1.4,3.4,Manchester-City
Mateo Kovacic,hr CRO,MF,29,19,10,949.0,0.0,0.0,0.0,3.0,0.0,0.8,1.1,Manchester-City
John Stones,eng ENG,"DF,MF",29,13,10,862.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,Manchester-City
Jack Grealish,eng ENG,FW,28,14,7,707.0,3.0,1.0,0.0,5.0,0.0,1.9,2.1,Manchester-City
Matheus Nunes,pt POR,"MF,FW",25,11,6,505.0,0.0,2.0,0.0,0.0,0.0,0.4,1.0,Manchester-City
Rico Lewis,eng ENG,"MF,DF",19,10,5,454.0,1.0,0.0,0.0,1.0,0.0,0.3,0.5,Manchester-City
Kevin De Bruyne,be BEL,MF,32,8,5,425.0,1.0,4.0,0.0,1.0,0.0,0.9,4.0,Manchester-City
Oscar Bobb,no NOR,"FW,MF",20,9,1,180.0,1.0,1.0,0.0,0.0,0.0,1.3,0.9,Manchester-City
Stefan Ortega,de GER,GK,31,2,1,173.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manchester-City
Kalvin Phillips,eng ENG,MF,28,4,0,93.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,Manchester-City
Sergio Gomez,es ESP,FW,23,3,0,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2,Manchester-City
